id,location,depth,mag,energy,place,date,time
us6000bze9,us,105.07,4,6.31E+15,"15 km SSE of Kocaaliler, Turkey",9/21/2020,4:56 PM
us6000bzek,us,10,5.6,2.51E+17,"21 km NW of Kultuk, Russia",9/21/2020,6:04 PM
us6000bzeq,us,10,4.7,3.16E+16,"127 km ENE of â€˜Ohonua, Tonga",9/21/2020,5:57 PM
us6000bzeu,us,22.07,2.4,1.58E+14,"32 km WSW of Augusta, Montana",9/21/2020,3:19 PM
us6000bzf0,us,10,2.5,2.00E+14,"53 km ENE of San Vicente, Mexico",9/19/2020,12:41 AM
us6000bzfh,us,12.74,2.4,1.58E+14,"16 km SW of Stanley, Idaho",9/21/2020,6:55 PM
us6000bzfi,us,39.62,4.4,1.58E+16,"21 km W of HÄjo, India",9/21/2020,7:58 PM
us6000bzft,us,102.44,4.1,7.94E+15,"51 km E of Arica, Chile",9/21/2020,8:18 PM
us6000bzfz,us,10,4.6,2.51E+16,"15 km WNW of Kultuk, Russia",9/21/2020,6:19 PM
us6000bzh7,us,21.67,3.7,3.16E+15,"150 km S of False Pass, Alaska",9/21/2020,2:51 AM
us6000bzhr,us,10,3.5,2.00E+15,"218 km SSE of Old Harbor, Alaska",9/21/2020,5:32 AM
us6000bzj4,us,172.43,5,6.31E+16,Banda Sea,9/22/2020,1:19 AM
us6000bzj9,us,10,2.2,1.00E+14,"4 km WNW of Dubrava, Croatia",9/22/2020,12:37 AM
us6000bzjd,us,110.87,2.5,2.00E+14,"Rat Islands, Aleutian Islands, Alaska",9/9/2020,9:52 AM
us6000bzjh,us,10,2.9,5.01E+14,"169 km S of Nikolski, Alaska",9/9/2020,3:25 PM
us6000bzjk,us,137.27,2.9,5.01E+14,"Rat Islands, Aleutian Islands, Alaska",9/9/2020,8:41 PM
us6000bzjl,us,35,2.6,2.51E+14,"Andreanof Islands, Aleutian Islands, Alaska",9/9/2020,9:29 PM
us6000bzjp,us,56.75,4,6.31E+15,"127 km NE of Thang, India",9/22/2020,3:46 AM
us6000bzkj,us,10.61,4.3,1.26E+16,"114 km W of Illapel, Chile",9/22/2020,6:40 AM
us6000bzkm,us,5,2.7,3.16E+14,"49 km NW of Toyah, Texas",9/22/2020,6:50 AM
us6000bzkx,us,35,4.1,7.94E+15,south of the Kermadec Islands,9/16/2020,12:26 AM
us6000bzky,us,27.66,4.6,2.51E+16,"185 km SW of Nadi, Fiji",9/16/2020,1:14 AM
us6000bzkz,us,10,4.6,2.51E+16,Mid-Indian Ridge,9/16/2020,2:36 AM
us6000bzl0,us,10,4.6,2.51E+16,Mid-Indian Ridge,9/16/2020,2:34 AM
us6000bzl5,us,10,4.4,1.58E+16,"140 km NE of Gisborne, New Zealand",9/16/2020,5:55 AM
us6000bzl6,us,10,4.3,1.26E+16,"137 km S of FukuechÅ, Japan",9/16/2020,12:58 AM
us6000bzlh,us,10,4.7,3.16E+16,southeast Indian Ridge,9/16/2020,6:00 PM
us6000bzli,us,105.79,4.1,7.94E+15,"91 km SSE of Gorontalo, Indonesia",9/16/2020,6:24 PM
us6000bzlj,us,81.55,4.4,1.58E+16,"46 km SW of Kirakira, Solomon Islands",9/16/2020,7:44 PM
us6000bzln,us,10,4,6.31E+15,"123 km NNE of Hihifo, Tonga",9/16/2020,10:04 PM
us6000bzlp,us,37.59,4.3,1.26E+16,"102 km ESE of Shizunai-furukawachÅ, Japan",9/16/2020,10:41 PM
us6000bzlq,us,534.47,4,6.31E+15,"59 km SSW of Palimbang, Philippines",9/16/2020,10:56 PM
us6000bzmi,us,10,4.9,5.01E+16,South Shetland Islands,9/22/2020,8:25 AM
us6000bzmn,us,129.17,4.8,3.98E+16,"85 km NNE of Calama, Chile",9/22/2020,11:53 AM
us6000bzns,us,13.96,2.4,1.58E+14,"26 km NW of Stanley, Idaho",9/22/2020,3:53 PM
us6000bznw,us,230.42,4,6.31E+15,"73 km ENE of Norsup, Vanuatu",9/17/2020,12:39 AM
us6000bzp3,us,10,4.6,2.51E+16,"223 km SE of Fais, Micronesia",9/17/2020,5:22 AM
us6000bzpb,us,49.55,4.5,2.00E+16,"15 km NNW of Karligan, Philippines",9/17/2020,9:38 AM
us6000bzqj,us,15.08,3.6,2.51E+15,"15 km E of Wright, Wyoming",9/22/2020,6:13 PM
us6000bzr8,us,47.2,3.6,2.51E+15,"Unimak Island region, Alaska",9/22/2020,5:15 AM
us6000bzrh,us,118.1,4,6.31E+15,"64 km NNE of Calama, Chile",9/22/2020,7:30 PM
us6000bzrr,us,10,4.2,1.00E+16,"91 km WNW of Bandar Abbas, Iran",9/22/2020,7:43 PM
us6000bzs3,us,35,3.3,1.26E+15,"86 km SE of Atka, Alaska",9/22/2020,1:47 PM
us6000bzsb,us,30.61,4.7,3.16E+16,"47 km WSW of Ovalle, Chile",9/22/2020,8:13 PM
us6000bzt0,us,10,3.1,7.94E+14,"3 km W of Wingrave, United Kingdom",9/22/2020,8:32 AM
us6000bzub,us,10,4.4,1.58E+16,"1 km WSW of Srinagar, India",9/22/2020,4:10 PM
us6000bzv0,us,10,3.3,1.26E+15,"278 km WNW of Bandon, Oregon",9/22/2020,10:00 PM
us6000bzvq,us,74.88,4.8,3.98E+16,"28 km SSW of OcÃ³s, Guatemala",9/22/2020,10:56 PM
us6000bzvs,us,573.2,4.4,1.58E+16,"193 km NE of Maumere, Indonesia",9/22/2020,10:57 PM
us6000bzw1,us,10,4.1,7.94E+15,off the coast of Washington,9/22/2020,11:25 PM
us6000bzwb,us,10,5.2,1.00E+17,South Shetland Islands,9/22/2020,11:44 PM
us6000bzwl,us,10,5.2,1.00E+17,South Shetland Islands,9/22/2020,11:53 PM
us6000bzy6,us,25.31,4.3,1.26E+16,"72 km S of Hualien City, Taiwan",9/23/2020,4:00 AM
us6000bzy7,us,114.62,4,6.31E+15,"36 km NW of San Pedro de Atacama, Chile",9/23/2020,3:59 AM
us6000bzyu,us,5,2.5,2.00E+14,"15 km NW of Midland, Texas",9/23/2020,6:04 AM
us6000bzzn,us,5.78,2.6,2.51E+14,"33 km SE of Mina, Nevada",9/23/2020,8:23 AM
us6000c01d,us,584.47,4.3,1.26E+16,Fiji region,9/23/2020,1:48 PM
us6000c01v,us,540.46,4.3,1.26E+16,south of the Fiji Islands,9/23/2020,2:23 PM
us6000c03m,us,35,2.6,2.51E+14,"100 km SSW of False Pass, Alaska",9/23/2020,9:03 AM
us6000c03p,us,606.94,4.3,1.26E+16,"286 km ESE of Levuka, Fiji",9/18/2020,1:09 AM
us6000c03r,us,375.71,4.2,1.00E+16,"266 km S of Alo, Wallis and Futuna",9/18/2020,4:10 AM
us6000c03u,us,51.98,4.7,3.16E+16,"137 km ESE of Kimbe, Papua New Guinea",9/18/2020,3:50 AM
us6000c03v,us,10,4.6,2.51E+16,northern Mid-Atlantic Ridge,9/18/2020,7:03 AM
us6000c03w,us,63.62,4.6,2.51E+16,"95 km ENE of Shikotan, Russia",9/18/2020,7:47 AM
us6000c03z,us,280.86,4.2,1.00E+16,"205 km N of Sola, Vanuatu",9/18/2020,6:17 AM
us6000c04c,us,10,4.5,2.00E+16,"63 km NE of Kuqa, China",9/18/2020,9:03 PM
us6000c04f,us,10,4.9,5.01E+16,South Shetland Islands,9/18/2020,11:34 PM
us6000c04g,us,10,4.8,3.98E+16,South Shetland Islands,9/18/2020,10:32 PM
us6000c05e,us,25.08,2.9,5.01E+14,"232 km SE of Chiniak, Alaska",9/13/2020,11:05 AM
us6000c05v,us,74.11,2.9,5.01E+14,"70 km SSE of Atka, Alaska",9/13/2020,10:19 PM
us6000c05x,us,10,3,6.31E+14,"229 km S of Unalaska, Alaska",9/13/2020,10:59 PM
us6000c06q,us,128.15,4.3,1.26E+16,"Kepulauan Babar, Indonesia",9/23/2020,6:28 PM
us6000c07q,us,5,2.2,1.00E+14,"6 km WNW of Hardtner, Kansas",9/23/2020,7:20 PM
